2024-05-13T22:23:47.278861 custom scheduler stable+%2822602+QPS%29
2024-05-13T22:23:47.675266 update_cores radix [1]
2024-05-13T22:23:47.693218 unpause radix
2024-05-13T22:23:47.761944 update_cores radix [3]
2024-05-13T22:23:47.778503 pause radix
2024-05-13T22:23:47.967667 custom scheduler stable+%2822596+QPS%29
2024-05-13T22:23:48.655841 custom scheduler stable+%2822646+QPS%29
2024-05-13T22:23:48.696623 update_cores radix [1]
2024-05-13T22:23:48.713013 unpause radix
2024-05-13T22:23:48.761146 update_cores radix [3]
2024-05-13T22:23:48.775525 pause radix
2024-05-13T22:23:48.921836 update_cores radix [1]
2024-05-13T22:23:48.941547 unpause radix
2024-05-13T22:23:49.346922 custom scheduler stable+%2822674+QPS%29
2024-05-13T22:23:49.733561 update_cores radix [3]
2024-05-13T22:23:49.751361 pause radix
2024-05-13T22:23:49.955064 update_cores radix [1]
2024-05-13T22:23:49.970819 unpause radix
2024-05-13T22:23:50.041494 custom scheduler stable+%2822932+QPS%29
2024-05-13T22:23:50.732348 custom scheduler stable+%2823118+QPS%29
2024-05-13T22:23:50.745731 update_cores radix [3]
2024-05-13T22:23:50.771497 pause radix
2024-05-13T22:23:50.950631 update_cores radix [1]
2024-05-13T22:23:50.965501 unpause radix
2024-05-13T22:23:51.421118 custom scheduler stable+%2823024+QPS%29
2024-05-13T22:23:51.678376 custom scheduler unstable+%28CURR+32743+-+22886+QPS%29
2024-05-13T22:23:51.725735 update_cores radix [3]
2024-05-13T22:23:51.741088 pause radix
2024-05-13T22:23:51.741420 custom scheduler stable+%2823018+QPS%29
2024-05-13T22:23:51.840043 update_cores radix [1]
2024-05-13T22:23:51.857229 unpause radix
2024-05-13T22:23:51.924067 update_cores radix [3]
2024-05-13T22:23:51.949738 pause radix
2024-05-13T22:23:52.117396 custom scheduler stable+%2823129+QPS%29
2024-05-13T22:23:52.792978 update_cores radix [1]
2024-05-13T22:23:52.802382 custom scheduler stable+%2822711+QPS%29
2024-05-13T22:23:52.814610 unpause radix
2024-05-13T22:23:52.872623 update_cores radix [3]
2024-05-13T22:23:52.890732 pause radix
2024-05-13T22:23:52.935868 custom scheduler unstable+%28CURR+32737+-+22754+QPS%29
2024-05-13T22:23:52.997933 custom scheduler stable+%2822792+QPS%29
2024-05-13T22:23:53.497692 custom scheduler stable+%2822843+QPS%29
2024-05-13T22:23:53.684203 custom scheduler unstable+%28CURR+60505+-+24747+QPS%29
2024-05-13T22:23:54.446676 custom scheduler stable+%2853565+QPS%29
2024-05-13T22:23:55.076899 custom scheduler stable+%2860832+QPS%29
2024-05-13T22:23:55.769577 custom scheduler stable+%2860924+QPS%29
2024-05-13T22:23:56.466937 custom scheduler stable+%2861467+QPS%29
2024-05-13T22:23:57.159971 custom scheduler stable+%2861277+QPS%29
2024-05-13T22:23:57.857717 custom scheduler stable+%2861457+QPS%29
2024-05-13T22:23:58.551931 custom scheduler stable+%2861447+QPS%29
2024-05-13T22:23:59.252169 custom scheduler stable+%2861586+QPS%29
2024-05-13T22:23:59.951331 custom scheduler stable+%2861615+QPS%29
2024-05-13T22:24:00.642977 custom scheduler stable+%2861874+QPS%29
2024-05-13T22:24:01.336130 custom scheduler stable+%2861142+QPS%29
2024-05-13T22:24:02.040104 custom scheduler stable+%2861415+QPS%29
2024-05-13T22:24:02.739530 custom scheduler stable+%2861464+QPS%29
2024-05-13T22:24:03.437910 custom scheduler stable+%2861402+QPS%29
2024-05-13T22:24:04.131083 custom scheduler stable+%2860674+QPS%29
2024-05-13T22:24:04.823780 custom scheduler stable+%2860114+QPS%29
2024-05-13T22:24:05.522557 custom scheduler stable+%2859948+QPS%29
2024-05-13T22:24:06.219346 custom scheduler stable+%2860294+QPS%29
2024-05-13T22:24:06.912764 custom scheduler stable+%2859924+QPS%29
2024-05-13T22:24:07.608300 custom scheduler stable+%2859473+QPS%29
2024-05-13T22:24:08.303494 custom scheduler stable+%2859448+QPS%29
2024-05-13T22:24:09.000561 custom scheduler stable+%2859709+QPS%29
2024-05-13T22:24:09.700443 custom scheduler stable+%2859477+QPS%29
2024-05-13T22:24:10.395215 custom scheduler stable+%2859587+QPS%29
2024-05-13T22:24:11.092174 custom scheduler stable+%2859710+QPS%29
2024-05-13T22:24:11.784076 custom scheduler stable+%2859584+QPS%29
2024-05-13T22:24:12.488453 custom scheduler stable+%2859335+QPS%29
2024-05-13T22:24:13.188405 custom scheduler stable+%2860040+QPS%29
2024-05-13T22:24:13.890735 custom scheduler stable+%2860256+QPS%29
2024-05-13T22:24:14.596529 custom scheduler stable+%2860641+QPS%29
2024-05-13T22:24:15.294887 custom scheduler stable+%2860898+QPS%29
2024-05-13T22:24:15.992494 custom scheduler stable+%2861103+QPS%29
