2024-05-09T16:20:46.190853 custom scheduler stable+%2885333+QPS%29
2024-05-09T16:20:46.902462 custom scheduler stable+%2882944+QPS%29
2024-05-09T16:20:47.603644 custom scheduler stable+%2882869+QPS%29
2024-05-09T16:20:48.316868 custom scheduler stable+%2882408+QPS%29
2024-05-09T16:20:49.020550 custom scheduler stable+%2883312+QPS%29
2024-05-09T16:20:49.729397 custom scheduler stable+%2882653+QPS%29
2024-05-09T16:20:50.452095 custom scheduler unstable+%28CURR+126666+-+82833+QPS%29
2024-05-09T16:20:50.517091 custom scheduler stable+%2882930+QPS%29
2024-05-09T16:20:51.154806 custom scheduler stable+%2883034+QPS%29
2024-05-09T16:20:51.862701 custom scheduler stable+%2882885+QPS%29
2024-05-09T16:20:52.580437 custom scheduler stable+%2882948+QPS%29
2024-05-09T16:20:53.285455 custom scheduler stable+%2882804+QPS%29
2024-05-09T16:20:53.997285 custom scheduler stable+%2882988+QPS%29
2024-05-09T16:20:54.702002 custom scheduler stable+%2882961+QPS%29
2024-05-09T16:20:54.828406 custom scheduler unstable+%28CURR+12286+-+79284+QPS%29
2024-05-09T16:20:55.699865 custom scheduler stable+%2815484+QPS%29
2024-05-09T16:20:55.716776 update_cores memcached [0]
2024-05-09T16:20:55.729265 unpause dedup
2024-05-09T16:20:56.324085 custom scheduler stable+%289943+QPS%29
2024-05-09T16:20:57.013356 custom scheduler stable+%289927+QPS%29
2024-05-09T16:20:57.712149 custom scheduler stable+%289935+QPS%29
2024-05-09T16:20:58.419577 custom scheduler stable+%289737+QPS%29
2024-05-09T16:20:59.116381 custom scheduler stable+%289723+QPS%29
2024-05-09T16:20:59.801273 custom scheduler stable+%289848+QPS%29
2024-05-09T16:21:00.291147 end dedup
2024-05-09T16:21:00.291219 custom memcached Some+jobs+are+done%3A+%28high%2C+0%29%2C+%28low%2C+1%29
2024-05-09T16:21:00.500163 custom scheduler stable+%289768+QPS%29
2024-05-09T16:21:00.615612 start radix [1] 1
2024-05-09T16:21:01.196454 custom scheduler stable+%289817+QPS%29
2024-05-09T16:21:01.892569 custom scheduler stable+%289670+QPS%29
2024-05-09T16:21:02.083898 custom scheduler unstable+%28CURR+14423+-+9698+QPS%29
2024-05-09T16:21:02.088456 update_cores memcached [0,1]
2024-05-09T16:21:02.101371 pause radix
2024-05-09T16:21:02.146464 custom scheduler stable+%289645+QPS%29
2024-05-09T16:21:02.156225 update_cores memcached [0]
2024-05-09T16:21:02.172809 unpause radix
2024-05-09T16:21:02.588079 custom scheduler stable+%289734+QPS%29
2024-05-09T16:21:03.285522 custom scheduler stable+%289961+QPS%29
2024-05-09T16:21:03.972362 custom scheduler stable+%289891+QPS%29
2024-05-09T16:21:04.041541 custom scheduler unstable+%28CURR+14234+-+9938+QPS%29
2024-05-09T16:21:04.061281 update_cores memcached [0,1]
2024-05-09T16:21:04.074945 pause radix
2024-05-09T16:21:04.105839 custom scheduler stable+%289873+QPS%29
2024-05-09T16:21:04.110735 update_cores memcached [0]
2024-05-09T16:21:04.127032 unpause radix
2024-05-09T16:21:04.742440 custom scheduler stable+%289839+QPS%29
2024-05-09T16:21:04.809137 custom scheduler unstable+%28CURR+44891+-+11866+QPS%29
2024-05-09T16:21:04.821466 update_cores memcached [0,1]
2024-05-09T16:21:04.834112 pause radix
2024-05-09T16:21:05.669074 custom scheduler stable+%2879882+QPS%29
2024-05-09T16:21:06.314803 custom scheduler stable+%2889499+QPS%29
2024-05-09T16:21:07.025287 custom scheduler stable+%2889496+QPS%29
2024-05-09T16:21:07.744274 custom scheduler stable+%2887768+QPS%29
2024-05-09T16:21:08.467843 custom scheduler stable+%2889434+QPS%29
2024-05-09T16:21:09.179588 custom scheduler stable+%2889404+QPS%29
2024-05-09T16:21:09.893695 custom scheduler stable+%2888577+QPS%29
2024-05-09T16:21:10.597281 custom scheduler unstable+%28CURR+134546+-+89104+QPS%29
2024-05-09T16:21:10.660234 custom scheduler stable+%2889032+QPS%29
2024-05-09T16:21:11.307619 custom scheduler stable+%2889172+QPS%29
2024-05-09T16:21:12.015335 custom scheduler stable+%2889670+QPS%29
2024-05-09T16:21:12.734263 custom scheduler stable+%2888022+QPS%29
2024-05-09T16:21:13.447201 custom scheduler stable+%2890462+QPS%29
2024-05-09T16:21:14.162263 custom scheduler stable+%2889213+QPS%29
2024-05-09T16:21:14.864616 custom scheduler unstable+%28CURR+32779+-+82385+QPS%29
2024-05-09T16:21:15.500444 custom scheduler stable+%2843803+QPS%29
2024-05-09T16:21:16.129492 custom scheduler stable+%2826473+QPS%29
2024-05-09T16:21:16.137742 update_cores memcached [0]
2024-05-09T16:21:16.151078 unpause radix
2024-05-09T16:21:16.829050 custom scheduler stable+%2826253+QPS%29
2024-05-09T16:21:17.536090 custom scheduler stable+%2826836+QPS%29
2024-05-09T16:21:18.237071 custom scheduler stable+%2826852+QPS%29
