2024-05-13T22:06:32.863348 custom scheduler unstable+%28CURR+49141+-+33168+QPS%29
2024-05-13T22:06:33.050888 custom scheduler stable+%2834350+QPS%29
2024-05-13T22:06:33.687103 custom scheduler stable+%2839019+QPS%29
2024-05-13T22:06:34.375723 custom scheduler stable+%2839631+QPS%29
2024-05-13T22:06:34.814863 custom scheduler unstable+%28CURR+15184+-+37771+QPS%29
2024-05-13T22:06:35.498486 custom scheduler stable+%2818472+QPS%29
2024-05-13T22:06:36.121134 custom scheduler stable+%2810832+QPS%29
2024-05-13T22:06:36.806450 custom scheduler unstable+%28CURR+80943+-+14348+QPS%29
2024-05-13T22:06:37.655746 custom scheduler stable+%2888856+QPS%29
2024-05-13T22:06:38.301949 custom scheduler stable+%2899091+QPS%29
2024-05-13T22:06:38.818876 custom scheduler unstable+%28CURR+60543+-+96506+QPS%29
2024-05-13T22:06:39.070781 custom scheduler stable+%2883500+QPS%29
2024-05-13T22:06:39.706649 custom scheduler stable+%2851408+QPS%29
2024-05-13T22:06:40.402849 custom scheduler stable+%2848596+QPS%29
2024-05-13T22:06:41.091404 custom scheduler stable+%2844273+QPS%29
2024-05-13T22:06:41.780433 custom scheduler stable+%2835495+QPS%29
2024-05-13T22:06:42.470952 custom scheduler stable+%2835637+QPS%29
2024-05-13T22:06:42.785376 custom scheduler unstable+%28CURR+64789+-+37233+QPS%29
2024-05-13T22:06:43.480815 custom scheduler stable+%2861399+QPS%29
2024-05-13T22:06:44.117586 custom scheduler stable+%2870728+QPS%29
2024-05-13T22:06:44.814678 custom scheduler unstable+%28CURR+26346+-+67411+QPS%29
2024-05-13T22:06:45.438725 custom scheduler stable+%2837012+QPS%29
2024-05-13T22:06:46.061110 custom scheduler stable+%2821190+QPS%29
2024-05-13T22:06:46.746682 custom scheduler stable+%2821014+QPS%29
2024-05-13T22:06:46.811894 custom scheduler unstable+%28CURR+96283+-+24607+QPS%29
2024-05-13T22:06:47.648075 custom scheduler stable+%2877371+QPS%29
2024-05-13T22:06:48.282071 custom scheduler stable+%2885633+QPS%29
2024-05-13T22:06:48.853728 custom scheduler unstable+%28CURR+51723+-+81107+QPS%29
2024-05-13T22:06:48.979334 custom scheduler stable+%2875733+QPS%29
2024-05-13T22:06:49.672302 custom scheduler stable+%2846622+QPS%29
2024-05-13T22:06:50.366719 custom scheduler stable+%2842768+QPS%29
2024-05-13T22:06:50.805936 custom scheduler unstable+%28CURR+75160+-+43699+QPS%29
2024-05-13T22:06:51.310044 custom scheduler stable+%2853263+QPS%29
2024-05-13T22:06:51.372175 custom scheduler unstable+%28CURR+78594+-+54634+QPS%29
2024-05-13T22:06:51.435365 custom scheduler stable+%2855801+QPS%29
2024-05-13T22:06:51.945261 custom scheduler stable+%2862192+QPS%29
2024-05-13T22:06:52.644500 custom scheduler stable+%2862637+QPS%29
2024-05-13T22:06:52.835387 custom scheduler unstable+%28CURR+96605+-+63976+QPS%29
2024-05-13T22:06:53.026486 custom scheduler stable+%2866447+QPS%29
2024-05-13T22:06:53.091151 custom scheduler unstable+%28CURR+111729+-+68025+QPS%29
2024-05-13T22:06:53.154086 custom scheduler stable+%2868947+QPS%29
2024-05-13T22:06:53.343007 custom scheduler stable+%2872118+QPS%29
2024-05-13T22:06:54.041589 custom scheduler stable+%2879516+QPS%29
2024-05-13T22:06:54.743837 custom scheduler stable+%2878637+QPS%29
2024-05-13T22:06:54.807194 custom scheduler unstable+%28CURR+118165+-+79617+QPS%29
2024-05-13T22:06:55.067721 custom scheduler stable+%2884619+QPS%29
2024-05-13T22:06:55.135811 custom scheduler unstable+%28CURR+127271+-+86241+QPS%29
2024-05-13T22:06:55.263797 custom scheduler stable+%2889080+QPS%29
2024-05-13T22:06:55.718756 custom scheduler stable+%2898295+QPS%29
2024-05-13T22:06:56.444313 custom scheduler stable+%2898693+QPS%29
2024-05-13T22:06:56.829413 custom scheduler unstable+%28CURR+30450+-+93234+QPS%29
2024-05-13T22:06:57.515765 custom scheduler stable+%2842142+QPS%29
2024-05-13T22:06:58.143655 custom scheduler stable+%2824049+QPS%29
2024-05-13T22:06:58.831323 custom scheduler unstable+%28CURR+87193+-+27697+QPS%29
2024-05-13T22:06:59.594745 custom scheduler stable+%2860372+QPS%29
2024-05-13T22:07:00.227291 custom scheduler stable+%2867964+QPS%29
2024-05-13T22:07:00.859829 custom scheduler unstable+%28CURR+38745+-+63931+QPS%29
2024-05-13T22:07:01.111002 custom scheduler stable+%2855055+QPS%29
2024-05-13T22:07:01.736461 custom scheduler stable+%2832475+QPS%29
2024-05-13T22:07:02.424834 custom scheduler stable+%2831527+QPS%29
2024-05-13T22:07:02.799398 custom scheduler unstable+%28CURR+51868+-+32102+QPS%29
2024-05-13T22:07:03.362855 custom scheduler stable+%2841051+QPS%29
2024-05-13T22:07:03.991592 custom scheduler stable+%2847875+QPS%29
2024-05-13T22:07:04.685640 custom scheduler stable+%2847849+QPS%29
2024-05-13T22:07:04.811597 custom scheduler unstable+%28CURR+112073+-+50905+QPS%29
2024-05-13T22:07:05.522022 custom scheduler stable+%2885105+QPS%29
2024-05-13T22:07:06.159335 custom scheduler stable+%2896416+QPS%29
2024-05-13T22:07:06.796821 custom scheduler unstable+%28CURR+56191+-+92620+QPS%29
2024-05-13T22:07:07.728208 custom scheduler stable+%288531+QPS%29
2024-05-13T22:07:07.777441 update_cores radix [1]
2024-05-13T22:07:07.795464 unpause radix
2024-05-13T22:07:07.854931 update_cores radix [3]
2024-05-13T22:07:07.870271 pause radix
2024-05-13T22:07:08.349832 custom scheduler stable+%285256+QPS%29
2024-05-13T22:07:08.535257 custom scheduler unstable+%28CURR+7672+-+5335+QPS%29
2024-05-13T22:07:08.596948 custom scheduler stable+%285307+QPS%29
2024-05-13T22:07:08.635543 update_cores radix [1]
2024-05-13T22:07:08.653362 unpause radix
2024-05-13T22:07:08.702136 update_cores radix [3]
2024-05-13T22:07:08.716824 pause radix
2024-05-13T22:07:08.786676 custom scheduler unstable+%28CURR+30744+-+6969+QPS%29
2024-05-13T22:07:09.671072 custom scheduler stable+%2860267+QPS%29
2024-05-13T22:07:10.307446 custom scheduler stable+%2866637+QPS%29
2024-05-13T22:07:10.812239 custom scheduler unstable+%28CURR+22982+-+63762+QPS%29
2024-05-13T22:07:11.502528 custom scheduler stable+%2829680+QPS%29
2024-05-13T22:07:12.124054 custom scheduler stable+%2816999+QPS%29
2024-05-13T22:07:12.806967 custom scheduler unstable+%28CURR+46243+-+18069+QPS%29
2024-05-13T22:07:13.622262 custom scheduler stable+%2839422+QPS%29
2024-05-13T22:07:14.248849 custom scheduler stable+%2843316+QPS%29
2024-05-13T22:07:14.814936 custom scheduler unstable+%28CURR+120914+-+46917+QPS%29
2024-05-13T22:07:15.651868 custom scheduler stable+%2894106+QPS%29
2024-05-13T22:07:16.312876 custom scheduler stable+%28101398+QPS%29
2024-05-13T22:07:16.825103 custom scheduler unstable+%28CURR+34237+-+96211+QPS%29
2024-05-13T22:07:17.515047 custom scheduler stable+%2844952+QPS%29
2024-05-13T22:07:18.139388 custom scheduler stable+%2826574+QPS%29
2024-05-13T22:07:18.825880 custom scheduler stable+%2826250+QPS%29
2024-05-13T22:07:19.511629 custom scheduler stable+%2823865+QPS%29
2024-05-13T22:07:20.197681 custom scheduler stable+%2823022+QPS%29
2024-05-13T22:07:20.819383 custom scheduler unstable+%28CURR+63864+-+24785+QPS%29
2024-05-13T22:07:21.574155 custom scheduler stable+%2845957+QPS%29
2024-05-13T22:07:22.203850 custom scheduler stable+%2851400+QPS%29
2024-05-13T22:07:22.834840 custom scheduler unstable+%28CURR+112240+-+54460+QPS%29
2024-05-13T22:07:23.476710 custom scheduler stable+%2879842+QPS%29
2024-05-13T22:07:24.117730 custom scheduler stable+%2891379+QPS%29
2024-05-13T22:07:24.315057 custom scheduler unstable+%28CURR+134485+-+91368+QPS%29
2024-05-13T22:07:24.378232 custom scheduler stable+%2891523+QPS%29
2024-05-13T22:07:24.826817 custom scheduler unstable+%28CURR+32776+-+86333+QPS%29
2024-05-13T22:07:25.511717 custom scheduler stable+%2842737+QPS%29
2024-05-13T22:07:26.136153 custom scheduler stable+%2826779+QPS%29
2024-05-13T22:07:26.822233 custom scheduler unstable+%28CURR+58820+-+28078+QPS%29
2024-05-13T22:07:27.579900 custom scheduler stable+%2844830+QPS%29
2024-05-13T22:07:28.209391 custom scheduler stable+%2849105+QPS%29
2024-05-13T22:07:28.897156 custom scheduler stable+%2847032+QPS%29
2024-05-13T22:07:29.586161 custom scheduler stable+%2836844+QPS%29
2024-05-13T22:07:30.274732 custom scheduler stable+%2834329+QPS%29
2024-05-13T22:07:30.776711 custom scheduler unstable+%28CURR+56935+-+35157+QPS%29
2024-05-13T22:07:31.490566 custom scheduler stable+%2864861+QPS%29
2024-05-13T22:07:32.127766 custom scheduler stable+%2877282+QPS%29
2024-05-13T22:07:32.831002 custom scheduler unstable+%28CURR+23687+-+72157+QPS%29
2024-05-13T22:07:33.523174 custom scheduler stable+%2833113+QPS%29
2024-05-13T22:07:34.143178 custom scheduler stable+%2819682+QPS%29
2024-05-13T22:07:34.826010 custom scheduler stable+%2819220+QPS%29
